user_id,food_id,rating,interaction_type,timestamp,user_type,food_cuisine,food_category
1,149,,viewed,2024-11-14 15:56:11.651150,comfort_seeker,Italian,Breakfast
1,103,,viewed,2025-05-04 15:56:11.651407,comfort_seeker,Korean,Breakfast
1,132,5.0,rated,2025-03-04 15:56:11.651596,comfort_seeker,American,Breakfast
1,366,3.0,rated,2025-05-31 15:56:11.651792,comfort_seeker,Japanese,Dessert
1,48,,viewed,2025-06-10 15:56:11.651997,comfort_seeker,Indian,Dinner
1,184,4.9,rated,2025-04-04 15:56:11.652177,comfort_seeker,Italian,Breakfast
1,323,5.0,cooked,2025-03-04 15:56:11.652352,comfort_seeker,Italian,Breakfast
1,277,,viewed,2024-10-18 15:56:11.652525,comfort_seeker,Italian,Appetizer
1,149,,viewed,2025-04-20 15:56:11.652699,comfort_seeker,Italian,Breakfast
1,26,4.8,rated,2025-04-13 15:56:11.652878,comfort_seeker,American,Lunch
1,385,,viewed,2024-08-27 15:56:11.653050,comfort_seeker,Italian,Breakfast
1,26,5.0,cooked,2025-06-26 15:56:11.653221,comfort_seeker,American,Lunch
1,266,5.0,cooked,2025-04-15 15:56:11.653389,comfort_seeker,American,Appetizer
1,132,5.0,cooked,2024-12-30 15:56:11.653556,comfort_seeker,American,Breakfast
1,232,4.8,rated,2025-03-08 15:56:11.653730,comfort_seeker,American,Breakfast
1,208,2.8,cooked,2025-01-15 15:56:11.654025,comfort_seeker,Korean,Dessert
1,385,,viewed,2025-01-10 15:56:11.654563,comfort_seeker,Italian,Breakfast
1,232,4.8,rated,2025-04-10 15:56:11.654882,comfort_seeker,American,Breakfast
1,10,,viewed,2025-05-22 15:56:11.655056,comfort_seeker,Italian,Appetizer
1,236,1.8,cooked,2024-08-22 15:56:11.655249,comfort_seeker,Japanese,Dinner
1,333,,viewed,2025-03-09 15:56:11.655422,comfort_seeker,Italian,Appetizer
2,344,5.0,rated,2025-06-09 15:56:11.656677,adventurous,Indian,Dessert
2,91,4.7,rated,2025-05-12 15:56:11.656876,adventurous,Indian,Dessert
2,346,,viewed,2025-01-23 15:56:11.657054,adventurous,Malaysian,Appetizer
2,316,,viewed,2024-09-27 15:56:11.657229,adventurous,Indian,Lunch
2,328,4.6,cooked,2025-02-10 15:56:11.657402,adventurous,Indian,Dinner
3,97,3.3,rated,2025-03-30 15:56:11.660242,health_conscious,American,Dinner
3,146,,viewed,2025-03-14 15:56:11.660705,health_conscious,Indian,Appetizer
3,322,4.1,cooked,2024-10-11 15:56:11.661135,health_conscious,Thai,Dessert
3,7,5.0,rated,2024-08-12 15:56:11.661621,health_conscious,Japanese,Appetizer
3,177,,viewed,2024-10-04 15:56:11.661867,health_conscious,Indian,Lunch
3,80,,viewed,2024-11-10 15:56:11.662058,health_conscious,Malaysian,Lunch
3,308,3.6,rated,2025-03-26 15:56:11.662247,health_conscious,Japanese,Lunch
3,225,,viewed,2025-05-29 15:56:11.662435,health_conscious,Chinese,Dinner
3,324,,viewed,2025-01-05 15:56:11.662621,health_conscious,Japanese,Dinner
3,174,3.4,rated,2025-01-12 15:56:11.662812,health_conscious,Chinese,Dinner
3,148,,viewed,2025-07-20 15:56:11.662999,health_conscious,Korean,Appetizer
3,110,3.8,rated,2025-06-17 15:56:11.663374,health_conscious,Thai,Appetizer
3,50,4.7,rated,2024-10-27 15:56:11.663856,health_conscious,Japanese,Breakfast
3,96,4.5,rated,2024-12-10 15:56:11.664083,health_conscious,Korean,Lunch
3,387,2.5,rated,2025-04-22 15:56:11.664292,health_conscious,Indian,Dessert
3,22,,viewed,2025-04-19 15:56:11.664482,health_conscious,Japanese,Breakfast
3,250,,viewed,2024-10-04 15:56:11.664691,health_conscious,Chinese,Appetizer
3,153,,viewed,2025-01-05 15:56:11.664896,health_conscious,Malaysian,Lunch
3,189,,viewed,2024-12-02 15:56:11.665091,health_conscious,Malaysian,Lunch
3,371,3.2,rated,2025-04-01 15:56:11.665294,health_conscious,Chinese,Dinner
3,261,,viewed,2025-05-02 15:56:11.665483,health_conscious,Thai,Breakfast
3,343,3.9,rated,2024-12-07 15:56:11.665670,health_conscious,Korean,Dessert
3,45,,viewed,2024-09-25 15:56:11.665861,health_conscious,Italian,Appetizer
4,118,5.0,rated,2024-10-17 15:56:11.667390,health_conscious,Thai,Appetizer
4,259,,viewed,2025-06-05 15:56:11.667597,health_conscious,Thai,Dessert
4,336,,viewed,2025-07-06 15:56:11.667920,health_conscious,Malaysian,Dessert
4,300,,viewed,2025-05-07 15:56:11.668167,health_conscious,Japanese,Dessert
4,300,5.0,rated,2024-11-07 15:56:11.668366,health_conscious,Japanese,Dessert
4,203,,viewed,2025-07-20 15:56:11.668575,health_conscious,Thai,Dessert
4,300,,viewed,2025-07-12 15:56:11.668748,health_conscious,Japanese,Dessert
4,355,3.6,cooked,2025-05-03 15:56:11.668969,health_conscious,American,Lunch
4,300,5.0,cooked,2024-08-07 15:56:11.669145,health_conscious,Japanese,Dessert
4,195,3.5,cooked,2025-01-31 15:56:11.669334,health_conscious,Indian,Dinner
4,300,,viewed,2024-10-29 15:56:11.669517,health_conscious,Japanese,Dessert
4,259,4.3,rated,2025-06-02 15:56:11.669694,health_conscious,Thai,Dessert
4,400,2.8,cooked,2025-04-01 15:56:11.669881,health_conscious,Indian,Dessert
4,118,5.0,rated,2025-05-10 15:56:11.670053,health_conscious,Thai,Appetizer
4,259,,viewed,2025-05-20 15:56:11.670223,health_conscious,Thai,Dessert
4,259,5.0,cooked,2024-10-29 15:56:11.670392,health_conscious,Thai,Dessert
4,102,5.0,cooked,2024-07-24 15:56:11.670562,health_conscious,Thai,Lunch
4,300,,viewed,2024-12-10 15:56:11.670731,health_conscious,Japanese,Dessert
5,102,5.0,rated,2025-02-23 15:56:11.672138,health_conscious,Thai,Lunch
5,259,5.0,cooked,2024-11-15 15:56:11.672319,health_conscious,Thai,Dessert
5,300,,viewed,2024-09-10 15:56:11.672494,health_conscious,Japanese,Dessert
5,300,,viewed,2025-03-22 15:56:11.672668,health_conscious,Japanese,Dessert
5,102,,viewed,2025-06-05 15:56:11.672843,health_conscious,Thai,Lunch
5,300,,viewed,2025-07-13 15:56:11.673021,health_conscious,Japanese,Dessert
5,300,,viewed,2025-07-04 15:56:11.673192,health_conscious,Japanese,Dessert
5,300,5.0,rated,2025-06-25 15:56:11.673365,health_conscious,Japanese,Dessert
5,259,5.0,rated,2025-07-03 15:56:11.673550,health_conscious,Thai,Dessert
5,118,4.3,cooked,2024-10-30 15:56:11.673728,health_conscious,Thai,Appetizer
5,300,4.9,rated,2024-10-01 15:56:11.673918,health_conscious,Japanese,Dessert
5,118,5.0,rated,2025-04-26 15:56:11.674090,health_conscious,Thai,Appetizer
5,102,,viewed,2025-07-05 15:56:11.674261,health_conscious,Thai,Lunch
5,259,5.0,cooked,2025-06-15 15:56:11.674432,health_conscious,Thai,Dessert
5,259,5.0,cooked,2025-01-08 15:56:11.674601,health_conscious,Thai,Dessert
5,118,,viewed,2024-08-13 15:56:11.674770,health_conscious,Thai,Appetizer
5,167,4.0,rated,2025-03-26 15:56:11.674962,health_conscious,Malaysian,Lunch
5,398,,viewed,2024-07-26 15:56:11.675147,health_conscious,Chinese,Breakfast
5,300,,viewed,2025-01-23 15:56:11.675319,health_conscious,Japanese,Dessert
